facility_id,facility_name,building_id,building_name,block_id,block_name,timestamp,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,temperature_c,occupancy,is_anomaly
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 00:00:00,439.54,118.51,225.95,89.86,26.12,26,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 00:15:00,398.79,117.57,224.88,103.87,24.27,19,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 00:30:00,470.21,113.32,227.42,117.45,24.33,22,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 00:45:00,407.2,99.47,210.11,62.0,25.54,45,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 01:00:00,479.48,193.35,209.57,62.55,28.42,13,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 01:15:00,378.61,123.84,248.79,91.9,26.72,12,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 01:30:00,448.49,103.4,285.8,98.86,22.42,41,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 01:45:00,526.64,100.63,279.12,63.59,22.6,27,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 02:00:00,421.04,127.14,249.88,94.67,28.98,4,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 02:15:00,845.21,94.3,451.33,133.38,27.23,48,True
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 02:30:00,512.11,125.92,257.08,119.34,31.31,41,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 02:45:00,455.11,146.29,247.88,118.68,31.48,38,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 03:00:00,387.11,108.91,168.71,74.85,29.13,2,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 03:15:00,550.82,159.43,296.89,112.11,22.19,23,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 03:30:00,527.66,136.13,285.12,93.16,26.33,12,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 03:45:00,565.57,107.87,218.11,74.16,25.46,16,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 04:00:00,469.62,173.83,208.12,68.38,23.93,5,False
F001,Smart Campus,B001,Building 1,BLK-2,Block 2,2026-08-01 04:15:00,440.75,134.12,287.6,111.55,30.57,44,False
F001,Smart Campus,B001,Building 1,BLK-1,Block 1,2026-08-01 04:30:00,599.7,123.8,174.73,80.67,22.59,18,False
