facility_id,facility_name,asset_id,asset_name,asset_type,building_name,block_name,timestamp,temperature_c,vibration_mm_s,pressure_bar,power_kw,runtime_hours,operating_hours,age_years,days_since_service,health_score,health_status,abnormal_behavior,maintenance_required,days_to_maintenance
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 00:00:00,101.61,3.38,5.01,32.59,0.82,1860.82,4,24.0,14.23,CRITICAL,1,1,5
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 01:00:00,55.69,2.21,5.37,13.46,0.98,1861.81,4,24.04,98.29,EXCELLENT,0,0,151
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 02:00:00,57.71,2.22,5.07,24.87,0.76,1862.57,4,24.08,97.09,EXCELLENT,0,0,128
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 03:00:00,58.28,2.22,5.7,14.54,0.54,1863.11,4,24.12,98.0,EXCELLENT,0,0,149
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 04:00:00,57.92,2.07,5.5,15.92,0.8,1863.91,4,24.17,98.79,EXCELLENT,0,0,95
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 05:00:00,58.97,2.08,5.52,17.31,0.64,1864.55,4,24.21,98.72,EXCELLENT,0,0,137
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 06:00:00,61.0,2.4,6.3,20.16,0.75,1865.3,4,24.25,95.61,EXCELLENT,0,0,149
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 07:00:00,62.1,2.28,5.38,20.97,0.4,1865.7,4,24.29,98.34,EXCELLENT,0,0,170
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 08:00:00,59.53,2.32,5.89,42.49,0.95,1866.65,4,24.33,97.24,EXCELLENT,0,0,101
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 09:00:00,59.49,2.16,5.38,39.34,0.78,1867.43,4,24.38,98.31,EXCELLENT,0,0,154
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 10:00:00,55.75,1.97,5.74,35.58,0.66,1868.1,4,24.42,97.86,EXCELLENT,0,0,141
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 11:00:00,58.83,2.0,5.63,41.98,0.52,1868.62,4,24.46,98.29,EXCELLENT,0,0,160
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 12:00:00,63.72,2.33,5.85,36.41,0.51,1869.13,4,24.5,97.41,EXCELLENT,0,0,164
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 13:00:00,74.71,2.93,5.7,45.84,0.79,1869.92,4,24.54,71.03,GOOD,1,0,81
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 14:00:00,55.73,2.0,5.36,40.24,0.73,1870.65,4,24.58,98.22,EXCELLENT,0,0,151
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 15:00:00,53.2,2.19,5.52,51.99,0.43,1871.09,4,24.62,95.65,EXCELLENT,0,0,90
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 16:00:00,57.91,1.91,5.84,36.92,0.54,1871.63,4,24.67,97.43,EXCELLENT,0,0,113
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 17:00:00,57.89,2.25,5.65,39.78,0.49,1872.12,4,24.71,98.19,EXCELLENT,0,0,169
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 18:00:00,62.27,2.42,5.5,31.18,0.54,1872.65,4,24.75,98.79,EXCELLENT,0,0,141
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 19:00:00,59.07,1.58,5.64,30.86,0.84,1873.5,4,24.79,98.22,EXCELLENT,0,0,120
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 20:00:00,60.03,1.89,5.57,30.89,0.72,1874.21,4,24.83,98.53,EXCELLENT,0,0,137
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 21:00:00,60.5,2.24,5.32,26.76,0.82,1875.03,4,24.88,98.08,EXCELLENT,0,0,109
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 22:00:00,59.54,2.5,5.57,29.88,0.41,1875.44,4,24.92,98.53,EXCELLENT,0,0,114
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-01 23:00:00,58.44,1.9,5.81,18.11,0.53,1875.97,4,24.96,97.54,EXCELLENT,0,0,122
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 00:00:00,56.84,1.92,5.76,24.38,0.58,1876.56,4,25.0,97.76,EXCELLENT,0,0,148
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 01:00:00,55.78,2.0,5.48,20.97,0.94,1877.49,4,25.04,98.71,EXCELLENT,0,0,110
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 02:00:00,72.05,4.98,5.46,28.58,0.57,1878.06,4,25.08,34.39,CRITICAL,1,1,0
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 03:00:00,59.79,2.35,4.92,29.56,0.45,1878.51,4,25.12,96.47,EXCELLENT,0,0,121
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 04:00:00,58.13,1.97,5.35,29.0,0.82,1879.32,4,25.17,98.18,EXCELLENT,0,0,113
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 05:00:00,58.23,1.91,5.92,15.62,0.59,1879.92,4,25.21,97.13,EXCELLENT,0,0,98
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 06:00:00,55.43,1.86,5.22,26.32,0.92,1880.84,4,25.25,97.67,EXCELLENT,0,0,96
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 07:00:00,59.28,2.34,5.84,24.48,0.93,1881.77,4,25.29,97.44,EXCELLENT,0,0,155
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 08:00:00,59.63,1.9,5.86,38.32,0.55,1882.32,4,25.33,97.36,EXCELLENT,0,0,104
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 09:00:00,58.35,2.22,5.18,34.99,0.77,1883.1,4,25.38,97.51,EXCELLENT,0,0,136
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 10:00:00,59.7,2.17,5.35,45.8,0.55,1883.65,4,25.42,98.22,EXCELLENT,0,0,151
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 11:00:00,56.92,2.01,6.0,42.95,0.55,1884.2,4,25.46,96.81,EXCELLENT,0,0,137
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 12:00:00,57.21,2.25,5.67,39.57,0.66,1884.86,4,25.5,98.11,EXCELLENT,0,0,156
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 13:00:00,58.57,2.52,5.29,36.26,0.68,1885.54,4,25.54,97.95,EXCELLENT,0,0,137
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 14:00:00,59.94,2.08,4.87,42.3,0.97,1886.51,4,25.58,96.29,EXCELLENT,0,0,141
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 15:00:00,58.35,2.21,6.2,38.03,0.5,1887.01,4,25.62,95.98,EXCELLENT,0,0,91
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 16:00:00,60.27,2.36,5.54,27.11,0.79,1887.8,4,25.67,98.65,EXCELLENT,0,0,140
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 17:00:00,61.2,2.48,5.63,40.68,0.56,1888.36,4,25.71,98.26,EXCELLENT,0,0,135
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 18:00:00,80.47,3.2,4.82,41.99,0.91,1889.27,4,25.75,53.54,WARNING,1,1,19
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 19:00:00,57.77,2.07,5.52,29.72,0.65,1889.92,4,25.79,98.74,EXCELLENT,0,0,138
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 20:00:00,57.08,2.06,5.81,26.03,0.74,1890.66,4,25.83,97.55,EXCELLENT,0,0,144
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 21:00:00,56.98,2.27,5.5,28.08,0.9,1891.55,4,25.88,98.79,EXCELLENT,0,0,148
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 22:00:00,56.97,2.45,5.53,16.84,0.69,1892.24,4,25.92,98.68,EXCELLENT,0,0,105
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-02 23:00:00,55.48,1.9,5.85,23.29,0.87,1893.12,4,25.96,97.41,EXCELLENT,0,0,142
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 00:00:00,58.19,2.03,5.79,21.6,0.61,1893.73,4,26.0,97.63,EXCELLENT,0,0,165
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 01:00:00,58.23,2.22,5.42,27.8,0.53,1894.26,4,26.04,98.49,EXCELLENT,0,0,116
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 02:00:00,60.89,2.08,5.3,28.51,0.45,1894.71,4,26.08,98.0,EXCELLENT,0,0,143
FAC-001,FacilityOps Campus,AST-001,HVAC Unit 1,HVAC,Building A,Block A1,2026-01-03 03:00:00,56.02,1.91,5.02,24.0,0.64,1895.36,4,26.12,96.9,EXCELLENT,0,0,109
