event_id,facility_id,facility_name,building_id,building_name,block_id,block_name,access_point_id,access_point_name,zone_type,timestamp,user_id,user_name,user_type,event_type,access_status,after_hours,unauthorized_attempt,forced_entry,tailgating_detected,cctv_event,severity,security_alert
SEC-000013,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 00:17:46,EMP-0166,Employee 166,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000042,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 01:00:06,EMP-0249,Employee 249,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,AFTER_HOURS_MOVEMENT,LOW,0
SEC-000122,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 01:11:05,EMP-0047,Employee 47,EMPLOYEE,UNAUTHORIZED_ACCESS,DENIED,1,1,0,0,SUSPICIOUS_ACCESS,CRITICAL,1
SEC-000020,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 01:30:31,EMP-0437,Employee 437,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,AFTER_HOURS_MOVEMENT,LOW,0
SEC-000006,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 02:12:49,EMP-0158,Employee 158,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000026,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 02:16:21,VIS-0250,Visitor 250,VISITOR,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000136,F001,Smart Campus,B001,Building A,BLK-A1,Block A1,AP-001,Building A Main Entrance,Entrance,2026-01-01 02:21:40,EMP-0317,Employee 317,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000132,F001,Smart Campus,B002,Building B,BLK-B2,Block B2,AP-004,Building B Service Door,Service Area,2026-01-01 02:25:23,EMP-0406,Employee 406,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000153,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 02:32:20,EMP-0388,Employee 388,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,AFTER_HOURS_MOVEMENT,LOW,0
SEC-000110,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 02:58:28,EMP-0021,Employee 21,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,AFTER_HOURS_MOVEMENT,LOW,0
SEC-000095,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 03:00:24,EMP-0030,Employee 30,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000150,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 03:05:48,EMP-0183,Employee 183,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000158,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 03:12:48,EMP-0383,Employee 383,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000009,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 03:24:03,EMP-0205,Employee 205,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000091,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 03:49:13,EMP-0023,Employee 23,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000008,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 03:49:22,EMP-0450,Employee 450,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000126,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 04:38:26,EMP-0147,Employee 147,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,AFTER_HOURS_MOVEMENT,LOW,0
SEC-000112,F001,Smart Campus,B002,Building B,BLK-B1,Block B1,AP-003,Building B Main Entrance,Entrance,2026-01-01 05:04:11,EMP-0154,Employee 154,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000055,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-005,Building C Main Entrance,Entrance,2026-01-01 05:14:28,VIS-0126,Visitor 126,VISITOR,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000113,F001,Smart Campus,B001,Building A,BLK-A2,Block A2,AP-002,Building A Side Entrance,Entrance,2026-01-01 05:18:45,VIS-0043,Visitor 43,VISITOR,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
SEC-000137,F001,Smart Campus,B003,Building C,BLK-C1,Block C1,AP-006,Server Room Access,Restricted Area,2026-01-01 05:36:30,EMP-0229,Employee 229,EMPLOYEE,ACCESS_GRANTED,GRANTED,1,0,0,0,NORMAL,LOW,0
