cost_record_id,facility_id,facility_name,building_id,building_name,timestamp,occupancy,electricity_kwh,hvac_kwh,lighting_kwh,water_liters,electricity_cost,water_cost,maintenance_cost,security_cost,operational_cost,total_cost,expected_cost,cost_variance,cost_variance_percent,potential_savings,cost_per_occupant,inefficiency_type,cost_status,savings_priority,is_cost_inefficiency
COST-000001,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 16:00:00,110,592.21,288.9,101.8,206.31,5033.8,11.35,481.52,183.64,276.23,5986.54,5954.56,31.97,0.54,31.97,54.42,NONE,NORMAL,LOW,0
COST-000002,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 17:00:00,41,402.33,169.71,57.47,128.6,3419.8,7.07,424.16,177.55,243.72,4272.29,4402.78,-130.49,-2.96,0.0,104.2,NONE,NORMAL,NORMAL,0
COST-000003,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 18:00:00,37,425.15,184.97,66.17,137.7,3613.78,7.57,422.39,183.33,224.62,4451.7,4402.78,48.92,1.11,48.92,120.32,NONE,NORMAL,LOW,0
COST-000004,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 19:00:00,41,382.48,155.98,75.13,126.95,3251.11,6.98,471.81,172.97,228.62,4131.48,4402.78,-271.29,-6.16,0.0,100.77,NONE,NORMAL,NORMAL,0
COST-000005,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 20:00:00,39,469.94,194.86,77.38,131.36,3994.48,7.22,423.37,181.68,235.42,4842.17,4402.78,439.39,9.98,439.39,124.16,NONE,WARNING,MEDIUM,0
COST-000006,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 21:00:00,11,300.78,123.51,43.23,83.78,2556.66,4.61,390.66,175.99,242.17,3370.09,3295.55,74.54,2.26,74.54,306.37,NONE,NORMAL,LOW,0
COST-000007,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 22:00:00,12,307.16,133.22,51.6,84.79,2610.89,4.66,501.8,189.8,236.5,3543.65,3295.55,248.11,7.53,248.11,295.3,NONE,WARNING,MEDIUM,0
COST-000008,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-22 23:00:00,12,306.64,151.04,41.45,88.81,2606.45,4.88,355.47,193.07,269.62,3429.48,3295.55,133.94,4.06,133.94,285.79,NONE,NORMAL,LOW,0
COST-000009,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 00:00:00,7,230.96,101.0,35.28,81.85,1963.15,4.5,415.33,166.31,276.63,2825.92,2853.23,-27.3,-0.96,0.0,403.7,NONE,NORMAL,NORMAL,0
COST-000010,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 01:00:00,9,239.92,118.16,39.48,86.31,2039.32,4.75,407.83,162.92,229.42,2844.22,2853.23,-9.01,-0.32,0.0,316.02,NONE,NORMAL,NORMAL,0
COST-000011,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 02:00:00,8,229.1,100.28,37.94,75.5,1947.37,4.15,462.93,170.24,227.0,2811.7,2853.23,-41.53,-1.46,0.0,351.46,NONE,NORMAL,NORMAL,0
COST-000012,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 03:00:00,8,220.76,112.93,41.19,73.77,1876.43,4.06,482.41,190.93,235.55,2789.38,2853.23,-63.85,-2.24,0.0,348.67,NONE,NORMAL,NORMAL,0
COST-000013,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 04:00:00,8,249.87,124.16,48.16,72.53,2123.86,3.99,407.75,191.45,288.14,3015.19,2853.23,161.97,5.68,161.97,376.9,NONE,WARNING,LOW,0
COST-000014,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 05:00:00,8,234.08,105.36,34.07,75.41,1989.71,4.15,392.72,195.94,246.21,2828.73,2853.23,-24.49,-0.86,0.0,353.59,NONE,NORMAL,NORMAL,0
COST-000015,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 06:00:00,56,394.77,175.13,78.17,110.47,3355.51,6.08,342.2,183.94,260.21,4147.94,4182.18,-34.24,-0.82,0.0,74.07,NONE,NORMAL,NORMAL,0
COST-000016,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 07:00:00,47,384.75,160.59,63.2,133.65,3270.36,7.35,376.67,186.2,280.41,4120.98,4182.18,-61.2,-1.46,0.0,87.68,NONE,NORMAL,NORMAL,0
COST-000017,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 08:00:00,50,365.17,162.19,63.64,136.63,3103.98,7.51,476.33,173.55,235.55,3996.92,4182.18,-185.26,-4.43,0.0,79.94,NONE,NORMAL,NORMAL,0
COST-000018,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 09:00:00,127,602.17,289.83,78.98,201.78,5118.46,11.1,374.05,185.23,234.6,5923.43,5954.56,-31.13,-0.52,0.0,46.64,NONE,NORMAL,NORMAL,0
COST-000019,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 10:00:00,95,662.88,339.66,92.56,197.08,5634.48,10.84,483.39,171.29,272.48,6572.48,5954.56,617.92,10.38,617.92,69.18,NONE,WARNING,HIGH,0
COST-000020,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 11:00:00,101,607.52,281.62,89.26,232.24,5163.93,12.77,486.73,194.42,270.38,6128.23,5954.56,173.67,2.92,173.67,60.68,NONE,NORMAL,LOW,0
COST-000021,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 12:00:00,92,542.73,264.37,104.64,214.46,4613.17,11.8,350.14,167.82,291.09,5434.01,5954.56,-520.56,-8.74,0.0,59.07,NONE,NORMAL,NORMAL,0
COST-000022,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 13:00:00,108,610.27,244.48,86.2,198.23,5187.28,10.9,452.24,185.47,238.49,6074.38,5954.56,119.82,2.01,119.82,56.24,NONE,NORMAL,LOW,0
COST-000023,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 14:00:00,94,630.95,277.02,114.99,226.45,5363.05,12.45,431.48,165.37,249.68,6222.04,5954.56,267.47,4.49,267.47,66.19,NONE,NORMAL,MEDIUM,0
COST-000024,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 15:00:00,109,560.76,289.78,88.33,196.53,4766.5,10.81,442.03,190.61,260.21,5670.16,5954.56,-284.4,-4.78,0.0,52.02,NONE,NORMAL,NORMAL,0
COST-000025,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 16:00:00,102,711.87,301.42,128.54,192.24,6050.86,10.57,496.26,194.94,249.87,7002.5,5954.56,1047.94,17.6,1047.94,68.65,NONE,HIGH,CRITICAL,0
COST-000026,FAC-001,Infosys Smart Campus,BLD-001,Building A,2026-08-23 17:00:00,44,429.78,221.61,81.53,122.53,3653.14,6.74,400.7,192.64,245.72,4498.93,4402.78,96.15,2.18,96.15,102.25,NONE,NORMAL,LOW,0
